identificador da entrevista,região onde foi realizada a entrevista,idade: qual a sua idade (em anos completos)?,área,sexo,cor ou raça,última série escolar que concluiu com aprovação,até que série o seu pai estudou,até que série a sua mãe estudou,renda total do chefe da família no último mês,renda total de todos os moradores (parentes e agregados) no último mês,número de moradores no domicílio (parentes e agregados),"no último mês, alguma pessoa deste domicílio recebeu rendimentos do bolsa famíli",my world - acesso a alimentos de qualidade,my world - governo honesto e atuante,my world - apoio às pessoas que não podem trabalhar,my world - educação de qualidade,my world - melhoria nos transportes e estradas,"my world - proteção a florestas, rios e oceanos",my world - liberdades políticas,my world - combater as mudanças climáticas,my world - melhoria dos serviços de saúde,my world - acesso ao telefone e à internet,my world - eliminação do preconceito e da discriminação,my world - acesso à água potável e ao saneamento,my world - igualdade entre homens e mulheres,my world - acesso à energia em sua casa,my world - proteção contra o crime e a violência,my world - melhores oportunidades de trabalho,religião,mulheres que usam roupas que mostram o corpo merecem ser atacadas,as mulatas são mais fogosas do que as mulheres brancas,dá para entender que um homem que cresceu em uma família violenta agrida sua mul,os homens devem ser a cabeça do lar,casos de violência dentro de casa devem ser discutidos somente entre os membros ,"incomoda ver dois homens, ou duas mulheres, se beijando na boca em público","se as mulheres soubessem como se comportar, haveria menos estupros",homem que bate na esposa tem que ir para a cadeia,é violência falar mentiras sobre uma mulher para os outros,toda mulher sonha em se casar,o que acontece com o casal em casa não interessa aos outros,"quando há violência, os casais devem se separar",casais de pessoas do mesmo sexo devem ter os mesmos direitos dos outros casais,dá pra entender que um homem rasgue ou quebre as coisas da mulher se ficou nervo,um homem pode xingar e gritar com sua própria mulher,é da natureza do homem ser violento,"em briga de marido e mulher, não se mete a colher",a roupa suja deve ser lavada em casa,uma mulher só se sente realizada quando tem filhos/as,"a mulher casada deve satisfazer o marido na cama, mesmo quando não tem vontade","piada de preto é só brincadeira, não é racismo",um casal de dois homens vive um amor tão bonito quanto entre um homem e uma mulh,mulher que é agredida e continua com o parceiro gosta de apanhar,casamento de homem com homem ou de mulher com mulher deve ser proibido,a mulher que apanha em casa deve ficar quieta para não prejudicar os filhos,a questão da violência contra as mulheres recebe mais importância do que merece,"tem mulher que é pra casar, tem mulher que é pra cama"
8565,SUDESTE,41,urbano,masculino,parda,terceira série médio incompleto,quarta série fundamental completa,sexta série fundamental,1900,3500,3,2,prioritário,prioritário,secundário,prioritário,prioritário,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,evangélica,concorda parcial,neutro,concorda total,discorda total,concorda parcial,concorda parcial,discorda total,discorda total,concorda parcial,concorda total,concorda total,concorda parcial,discorda total,discorda total,discorda total,discorda parcial,concorda parcial,discorda total,concorda parcial,neutro,discorda total,ns,discorda total,concorda parcial,discorda parcial,discorda total,discorda parcial
8566,SUDESTE,55,metropolitano,feminino,preta,sétima série fundamental,não sabe,não sabe,1900,2500,2,2,prioritário,secundário,prioritário,secundário,secundário,secundário,secundário,secundário,prioritário,secundário,secundário,prioritário,secundário,secundário,prioritário,prioritário,evangélica,concorda parcial,concorda parcial,concorda parcial,concorda parcial,discorda total,concorda total,concorda total,concorda total,discorda parcial,concorda total,discorda parcial,concorda total,discorda parcial,discorda total,discorda total,discorda total,concorda total,concorda total,concorda total,concorda parcial,concorda parcial,concorda parcial,concorda parcial,discorda parcial,discorda total,discorda parcial,concorda total
8568,SUDESTE,64,metropolitano,feminino,branca,médio completo,não sabe,não sabe,2000,3000,2,2,prioritário,secundário,prioritário,secundário,secundário,secundário,secundário,secundário,prioritário,secundário,prioritário,prioritário,secundário,secundário,prioritário,secundário,sem,discorda total,concorda parcial,concorda parcial,discorda total,concorda total,discorda total,concorda total,concorda total,discorda total,discorda total,concorda total,concorda total,concorda total,discorda total,discorda total,discorda parcial,concorda total,discorda total,discorda total,discorda total,concorda total,concorda total,concorda total,discorda total,discorda total,discorda total,concorda total
8573,SUDESTE,45,metropolitano,feminino,parda,médio completo,superior completo,superior completo,,,5,2,secundário,prioritário,secundário,prioritário,secundário,secundário,secundário,secundário,prioritário,prioritário,secundário,prioritário,secundário,secundário,prioritário,secundário,católica,discorda parcial,discorda total,discorda parcial,concorda parcial,concorda total,discorda parcial,discorda parcial,concorda parcial,discorda parcial,discorda parcial,discorda parcial,discorda parcial,concorda parcial,discorda parcial,discorda total,discorda parcial,concorda parcial,concorda parcial,discorda parcial,discorda total,discorda parcial,concorda parcial,concorda parcial,concorda parcial,discorda parcial,concorda parcial,discorda parcial
8583,SUDESTE,36,metropolitano,feminino,branca,cursou superior sem concluir,médio completo,médio completo,1500,2500,5,2,prioritário,secundário,prioritário,prioritário,prioritário,secundário,secundário,secundário,prioritário,secundário,secundário,prioritário,secundário,secundário,secundário,secundário,católica,concorda parcial,concorda parcial,concorda parcial,concorda parcial,discorda total,discorda parcial,concorda total,concorda total,concorda parcial,concorda parcial,discorda parcial,concorda total,concorda total,discorda total,discorda total,discorda parcial,concorda total,concorda total,concorda parcial,discorda total,discorda total,concorda parcial,discorda parcial,discorda total,discorda total,concorda parcial,concorda total
8587,SUDESTE,30,urbano,feminino,parda,primeira série médio,terceira série fundamental,quarta série fundamental completa,1500,3200,2,2,secundário,prioritário,secundário,prioritário,secundário,secundário,prioritário,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,prioritário,evangélica,concorda parcial,discorda total,concorda parcial,concorda parcial,concorda total,discorda total,discorda total,discorda parcial,concorda parcial,concorda parcial,concorda parcial,concorda total,discorda parcial,discorda total,discorda total,concorda total,discorda parcial,concorda parcial,concorda parcial,concorda parcial,discorda parcial,concorda parcial,discorda total,discorda total,concorda parcial,discorda total,concorda parcial
8590,SUDESTE,60,urbano,feminino,branca,médio completo,quarta série fundamental completa,quarta série fundamental completa,,,5,2,prioritário,prioritário,secundário,prioritário,prioritário,prioritário,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,católica,discorda parcial,discorda parcial,discorda parcial,concorda parcial,concorda parcial,concorda total,concorda total,concorda total,concorda total,concorda total,concorda total,concorda total,discorda parcial,discorda parcial,discorda parcial,discorda parcial,concorda parcial,concorda total,discorda parcial,discorda parcial,discorda parcial,discorda parcial,concorda total,concorda total,discorda parcial,discorda parcial,discorda parcial
8592,SUDESTE,80,metropolitano,masculino,branca,fundamental completa,quarta série fundamental completa,quarta série fundamental completa,700,700,3,2,prioritário,prioritário,secundário,prioritário,secundário,prioritário,secundário,secundário,secundário,secundário,prioritário,secundário,prioritário,secundário,secundário,secundário,espírita,discorda total,discorda total,discorda parcial,concorda parcial,discorda total,discorda total,discorda parcial,concorda parcial,discorda total,discorda total,concorda parcial,discorda parcial,concorda parcial,discorda total,discorda total,concorda parcial,discorda total,concorda parcial,discorda total,discorda parcial,discorda parcial,concorda parcial,discorda total,concorda parcial,discorda total,discorda total,discorda parcial
8596,NORTE,22,urbano,masculino,parda,primeira série médio,analfabeto ou sem instrução,analfabeto ou sem instrução,400,600,4,1,prioritário,secundário,secundário,prioritário,secundário,prioritário,secundário,secundário,prioritário,secundário,secundário,prioritário,secundário,prioritário,secundário,secundário,católica,concorda parcial,concorda total,discorda total,concorda total,concorda parcial,concorda total,concorda parcial,concorda total,concorda parcial,discorda parcial,concorda total,concorda total,discorda total,discorda total,discorda total,discorda total,concorda total,concorda total,discorda total,concorda parcial,neutro,discorda total,concorda total,discorda total,discorda total,discorda parcial,concorda parcial
8600,NORDESTE,36,urbano,feminino,parda,sétima série fundamental,primeira série fundamental,analfabeto ou sem instrução,500,500,4,2,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,católica,concorda parcial,discorda parcial,concorda parcial,concorda parcial,concorda total,concorda total,ns,discorda parcial,discorda parcial,discorda total,discorda total,concorda total,concorda parcial,concorda parcial,discorda total,concorda parcial,discorda total,discorda parcial,discorda total,concorda parcial,discorda parcial,discorda total,discorda parcial,concorda total,concorda total,concorda parcial,discorda total
8603,NORDESTE,36,urbano,feminino,parda,sétima série fundamental,primeira série fundamental,analfabeto ou sem instrução,500,500,4,2,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,católica,concorda parcial,discorda parcial,concorda parcial,concorda parcial,concorda total,concorda total,ns,discorda parcial,discorda parcial,discorda total,discorda total,concorda total,concorda parcial,concorda parcial,discorda total,concorda parcial,discorda total,discorda parcial,discorda total,concorda parcial,discorda parcial,discorda total,discorda parcial,concorda total,concorda total,concorda parcial,discorda total
8606,SUDESTE,65,urbano,feminino,branca,quinta série fundamental,não sabe,não sabe,1500,1500,1,2,prioritário,prioritário,prioritário,secundário,prioritário,prioritário,secundário,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,católica,concorda parcial,neutro,concorda total,concorda total,concorda total,concorda total,concorda total,concorda total,concorda total,concorda total,concorda total,concorda total,concorda total,discorda parcial,discorda total,discorda parcial,concorda parcial,concorda total,concorda parcial,concorda parcial,concorda parcial,discorda parcial,discorda total,discorda parcial,discorda parcial,discorda parcial,concorda total
8608,SUDESTE,43,urbano,feminino,branca,fundamental completa,quarta série fundamental completa,quarta série fundamental completa,1300,1300,5,2,prioritário,secundário,secundário,prioritário,prioritário,secundário,secundário,secundário,prioritário,secundário,prioritário,prioritário,secundário,secundário,secundário,secundário,católica,concorda total,neutro,discorda parcial,discorda parcial,concorda total,concorda total,discorda parcial,concorda total,ns,concorda total,concorda total,concorda total,concorda total,discorda total,discorda total,discorda total,concorda parcial,concorda total,discorda total,discorda total,discorda parcial,concorda parcial,discorda parcial,discorda total,discorda parcial,concorda total,concorda total
8611,SUDESTE,41,metropolitano,feminino,branca,médio completo,não respondeu,analfabeto ou sem instrução,800,1200,5,2,prioritário,secundário,prioritário,prioritário,secundário,secundário,secundário,secundário,prioritário,secundário,secundário,prioritário,secundário,secundário,secundário,prioritário,evangélica,discorda parcial,concorda parcial,concorda total,concorda parcial,discorda parcial,concorda parcial,discorda total,concorda total,discorda parcial,concorda parcial,concorda parcial,concorda total,concorda total,concorda total,discorda total,discorda total,concorda total,concorda total,concorda parcial,discorda total,discorda total,concorda total,discorda total,discorda total,discorda total,concorda parcial,concorda total
8615,SUDESTE,55,urbano,feminino,branca,quarta série fundamental completa,quarta série fundamental incompleta,quarta série fundamental incompleta,3000,,3,2,prioritário,prioritário,prioritário,prioritário,prioritário,secundário,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,evangélica,discorda total,discorda total,concorda parcial,discorda parcial,concorda total,concorda parcial,discorda parcial,concorda total,concorda total,concorda parcial,concorda total,concorda total,concorda total,discorda total,discorda total,concorda parcial,concorda total,concorda total,discorda parcial,discorda total,concorda parcial,discorda parcial,discorda parcial,concorda parcial,discorda total,concorda total,discorda parcial
8619,NORTE,82,urbano,masculino,parda,primeira série fundamental,não conheceu,não conheceu,678,678,6,2,prioritário,secundário,secundário,prioritário,secundário,prioritário,secundário,secundário,prioritário,secundário,secundário,prioritário,secundário,prioritário,secundário,secundário,evangélica,discorda total,discorda total,discorda total,concorda total,concorda parcial,discorda total,concorda parcial,concorda total,concorda parcial,discorda total,concorda parcial,concorda total,concorda total,discorda total,discorda total,discorda total,concorda total,concorda total,discorda total,concorda parcial,concorda parcial,discorda total,concorda parcial,concorda total,discorda total,discorda parcial,discorda total
8622,NORTE,18,urbano,feminino,parda,primeira série médio,não conheceu,segunda série fundamental,550,550,2,2,prioritário,secundário,secundário,prioritário,secundário,secundário,secundário,secundário,prioritário,secundário,secundário,prioritário,secundário,prioritário,prioritário,secundário,católica,concorda parcial,ns,concorda parcial,concorda total,concorda parcial,neutro,discorda total,concorda total,concorda parcial,concorda parcial,discorda total,concorda parcial,concorda parcial,discorda total,discorda total,discorda total,concorda total,concorda total,discorda total,concorda parcial,concorda parcial,ns,concorda total,discorda total,discorda total,discorda total,discorda total
8626,SUDESTE,17,urbano,feminino,branca,médio completo,médio completo,médio completo,2000,,3,2,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,prioritário,prioritário,prioritário,secundário,prioritário,secundário,prioritário,prioritário,católica,discorda total,ns,discorda total,discorda parcial,concorda total,discorda total,discorda total,concorda total,concorda total,discorda parcial,concorda total,concorda total,concorda total,discorda total,discorda total,discorda total,concorda total,concorda total,discorda parcial,discorda total,discorda total,concorda total,discorda parcial,discorda total,discorda total,discorda total,concorda total
8628,NORDESTE,23,urbano,masculino,parda,sétima série fundamental,segunda série fundamental,primeira série fundamental,1000,2000,2,2,prioritário,secundário,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,católica,concorda parcial,discorda parcial,concorda parcial,concorda parcial,concorda parcial,discorda total,concorda total,concorda parcial,concorda total,discorda total,discorda total,concorda total,discorda total,concorda total,discorda total,concorda parcial,discorda parcial,concorda total,concorda parcial,concorda parcial,discorda parcial,discorda parcial,concorda parcial,concorda total,discorda parcial,concorda parcial,concorda parcial
8630,NORDESTE,39,urbano,feminino,parda,quinta série fundamental,terceira série fundamental,primeira série fundamental,300,700,5,2,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,católica,concorda total,discorda parcial,concorda parcial,discorda parcial,concorda total,concorda total,discorda total,discorda parcial,concorda total,discorda parcial,concorda total,discorda total,concorda total,concorda parcial,discorda total,concorda parcial,concorda parcial,discorda total,discorda parcial,concorda total,concorda parcial,discorda total,discorda parcial,concorda total,concorda total,concorda parcial,concorda parcial
8631,SUDESTE,25,metropolitano,masculino,preta,cursou superior sem concluir,sexta série fundamental,quarta série fundamental completa,2000,2000,2,2,prioritário,prioritário,prioritário,prioritário,prioritário,secundário,secundário,secundário,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,evangélica,discorda total,concorda total,discorda total,concorda parcial,discorda total,concorda parcial,concorda parcial,concorda total,discorda total,concorda parcial,discorda total,concorda total,concorda total,discorda total,discorda total,discorda total,concorda total,concorda total,concorda parcial,discorda total,discorda parcial,neutro,discorda total,discorda total,discorda total,discorda total,concorda total
8632,SUDESTE,54,urbano,feminino,branca,médio completo,quarta série fundamental completa,quarta série fundamental completa,2000,2000,1,2,secundário,secundário,prioritário,prioritário,prioritário,prioritário,prioritário,prioritário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,secundário,católica,neutro,discorda parcial,concorda total,neutro,neutro,concorda total,concorda total,discorda parcial,concorda total,concorda parcial,concorda total,neutro,discorda parcial,discorda parcial,discorda parcial,discorda parcial,concorda total,concorda total,discorda total,concorda total,concorda total,discorda parcial,concorda total,discorda parcial,discorda parcial,discorda parcial,discorda parcial
